"source","location","report","reportDate","dateInterval","entryDate","exitDate","curator","numberTests","isCumulative","numberPositive","numberSuspectedAndConfirmed","numberSuspected"
"http://www.mohcc.gov.zw/index.php/2013-01-30-08-05-11/index.php?option=com_phocadownload&view=category&id=14:press-statements&Itemid=740","zimbabwe","gov-zimbabwe-2020-03-23.pdf","2020-03-15","NA","2020-03-23","NA","jj","14","TRUE","0","NA","NA"
"https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/aktuellt-epidemiologiskt-lage/","sweden","gov-Sweden-2020-03-25-1585131316.600923","2020-03-23","NA","2020-03-23","NA","oj","14 300","TRUE","2016","NA","NA"
"https://www.fhi.no/en/id/infectious-diseases/coronavirus/daily-reports/daily-reports-COVID19/","norway","gov-norway-24-03-20-dagsrapport-covid-19.pdf","2020-03-24","NA","2020-03-24","NA","aez","70608","TRUE","2566","NA","NA"
"https://sacoronavirus.co.za/","south africa","gov-South Africa-2020-03-24-1585074006","2020-03-24","NA","2020-03-24","NA","jj","15529","TRUE","554","NA","NA"
"https://arkartassituacija.gov.lv/","latvia","gov-Latvia-2020-03-24-1585074007","2020-03-24","NA","2020-03-24","NA","jj","6806","TRUE","197","NA","NA"
"https://www.gov.si/teme/koronavirus/","slovenia","gov-Slovenia-2020-03-25-1585132887.166896","2020-03-20","NA","2020-03-25","NA","oj","1058","TRUE","36","NA","NA"
"http://ncov.mohw.go.kr/en/","south korea","gov-South Korea-2020-03-25-1585162252","2020-03-25","NA","2020-03-25","NA","jj","343618","TRUE","9137","NA","NA"
"https://icmr.nic.in/node/39071","india","gov-India-2020-03-25.pdf","2020-03-25","NA","2020-03-25","NA","jj","25144","TRUE","581","NA","NA"
"https://www.ontario.ca/page/2019-novel-coronavirus","ontario","gov-ontario-2020-03-25.pdf","2020-03-25","NA","2020-03-25","NA","jj","35,635","TRUE","671","NA","NA"
"https://www.doh.gov.ph/2019-nCov/","philippines","gov-Philippines-2020-03-25-1585148115","2020-03-25","NA","2020-03-25","NA","jj","1364","TRUE","728","NA","NA"
"http://www.moh.gov.my/index.php/pages/view/2019-ncov-wuhan","malaysia","gov-Malaysia-2020-03-25-1585148117","2020-03-25","NA","2020-03-25","NA","jj","20861","TRUE","5041","NA","NA"
"http://www.sante.gouv.sn/Actualites","senegal","gov-senegal-2020-03-25.pdf","2020-03-25","1","2020-03-25","NA","jj","142","FALSE","13","NA","NA"
"https://onemocneni-aktualne.mzcr.cz/covid-19","czech republic","gov-Czech Republic-2020-03-25-1585163831","2020-03-25","NA","2020-03-25","NA","jj","22600","TRUE","1654","NA","NA"
